participant_id	species	strain	sex	group
R01	rattus norvegicus	Sprague Dawley	male	veh
R02	rattus norvegicus	Sprague Dawley	male	lps
R03	rattus norvegicus	Sprague Dawley	male	lps-nr
R04	rattus norvegicus	Sprague Dawley	male	veh
R05	rattus norvegicus	Sprague Dawley	male	lps
R06	rattus norvegicus	Sprague Dawley	male	lps-nr
R07	rattus norvegicus	Sprague Dawley	male	veh
R08	rattus norvegicus	Sprague Dawley	male	veh
R09	rattus norvegicus	Sprague Dawley	male	lps
R10	rattus norvegicus	Sprague Dawley	male	lps
R11	rattus norvegicus	Sprague Dawley	male	lps
R12	rattus norvegicus	Sprague Dawley	male	lps
R13	rattus norvegicus	Sprague Dawley	male	veh
R14	rattus norvegicus	Sprague Dawley	male	lps
R15	rattus norvegicus	Sprague Dawley	male	veh
R16	rattus norvegicus	Sprague Dawley	male	veh
R17	rattus norvegicus	Sprague Dawley	male	lps
R18	rattus norvegicus	Sprague Dawley	male	veh
R19	rattus norvegicus	Sprague Dawley	male	veh
R20	rattus norvegicus	Sprague Dawley	male	lps
R21	rattus norvegicus	Sprague Dawley	male	lps
R22	rattus norvegicus	Sprague Dawley	male	lps
R23	rattus norvegicus	Sprague Dawley	male	lps
R24	rattus norvegicus	Sprague Dawley	male	lps-nr
R25	rattus norvegicus	Sprague Dawley	male	lps
R26	rattus norvegicus	Sprague Dawley	male	lps
R27	rattus norvegicus	Sprague Dawley	male	lps
R28	rattus norvegicus	Sprague Dawley	male	veh
R29	rattus norvegicus	Sprague Dawley	male	lps
R30	rattus norvegicus	Sprague Dawley	male	lps-nr
R31	rattus norvegicus	Sprague Dawley	male	veh
R32	rattus norvegicus	Sprague Dawley	male	veh